"sweep","stim_index_70.x","tech_rep.x","origin_stim_label","origin_wavelength","origin_stimulus_ND","stim_index_70.y","tech_rep.y","zeus_wavelength","zeus_stimulus_ND","zeus_stim_label","label_match","wavelength_match","nd_match"
171,43,3,"610 5.0","610",5,43,3,"610",5,"610 5.0",TRUE,TRUE,TRUE
172,43,4,"610 5.0","610",5,43,4,"610",5,"610 5.0",TRUE,TRUE,TRUE
173,44,1,"610 4.5","610",4.5,44,1,"610",4.5,"610 4.5",TRUE,TRUE,TRUE
174,44,2,"610 4.5","610",4.5,44,2,"610",4.5,"610 4.5",TRUE,TRUE,TRUE
175,44,3,"610 4.5","610",4.5,44,3,"610",4.5,"610 4.5",TRUE,TRUE,TRUE
176,44,4,"610 4.5","610",4.5,44,4,"610",4.5,"610 4.5",TRUE,TRUE,TRUE
177,45,1,"610 4.0","610",4,45,1,"610",4,"610 4.0",TRUE,TRUE,TRUE
178,45,2,"610 4.0","610",4,45,2,"610",4,"610 4.0",TRUE,TRUE,TRUE
179,45,3,"610 4.0","610",4,45,3,"610",4,"610 4.0",TRUE,TRUE,TRUE
180,45,4,"610 4.0","610",4,45,4,"610",4,"610 4.0",TRUE,TRUE,TRUE
181,46,1,"610 3.5","610",3.5,46,1,"610",3.5,"610 3.5",TRUE,TRUE,TRUE
182,46,2,"610 3.5","610",3.5,46,2,"610",3.5,"610 3.5",TRUE,TRUE,TRUE
183,46,3,"610 3.5","610",3.5,46,3,"610",3.5,"610 3.5",TRUE,TRUE,TRUE
184,46,4,"610 3.5","610",3.5,46,4,"610",3.5,"610 3.5",TRUE,TRUE,TRUE
185,47,1,"610 3.0","610",3,47,1,"610",3,"610 3.0",TRUE,TRUE,TRUE
186,47,2,"610 3.0","610",3,47,2,"610",3,"610 3.0",TRUE,TRUE,TRUE
187,47,3,"610 3.0","610",3,47,3,"610",3,"610 3.0",TRUE,TRUE,TRUE
188,47,4,"610 3.0","610",3,47,4,"610",3,"610 3.0",TRUE,TRUE,TRUE
189,48,1,"610 2.5","610",2.5,48,1,"610",2.5,"610 2.5",TRUE,TRUE,TRUE
190,48,2,"610 2.5","610",2.5,48,2,"610",2.5,"610 2.5",TRUE,TRUE,TRUE
191,48,3,"610 2.5","610",2.5,48,3,"610",2.5,"610 2.5",TRUE,TRUE,TRUE
192,48,4,"610 2.5","610",2.5,48,4,"610",2.5,"610 2.5",TRUE,TRUE,TRUE
193,49,1,"610 2.0","610",2,49,1,"610",2,"610 2.0",TRUE,TRUE,TRUE
194,49,2,"610 2.0","610",2,49,2,"610",2,"610 2.0",TRUE,TRUE,TRUE
195,49,3,"610 2.0","610",2,49,3,"610",2,"610 2.0",TRUE,TRUE,TRUE
196,49,4,"610 2.0","610",2,49,4,"610",2,"610 2.0",TRUE,TRUE,TRUE
197,50,1,"530 5.0","530",5,50,1,"530",5,"530 5.0",TRUE,TRUE,TRUE
198,50,2,"530 5.0","530",5,50,2,"530",5,"530 5.0",TRUE,TRUE,TRUE
199,50,3,"530 5.0","530",5,50,3,"530",5,"530 5.0",TRUE,TRUE,TRUE
200,50,4,"530 5.0","530",5,50,4,"530",5,"530 5.0",TRUE,TRUE,TRUE
201,51,1,"530 4.5","530",4.5,51,1,"530",4.5,"530 4.5",TRUE,TRUE,TRUE
202,51,2,"530 4.5","530",4.5,51,2,"530",4.5,"530 4.5",TRUE,TRUE,TRUE
203,51,3,"530 4.5","530",4.5,51,3,"530",4.5,"530 4.5",TRUE,TRUE,TRUE
204,51,4,"530 4.5","530",4.5,51,4,"530",4.5,"530 4.5",TRUE,TRUE,TRUE
205,52,1,"530 4.0","530",4,52,1,"530",4,"530 4.0",TRUE,TRUE,TRUE
206,52,2,"530 4.0","530",4,52,2,"530",4,"530 4.0",TRUE,TRUE,TRUE
207,52,3,"530 4.0","530",4,52,3,"530",4,"530 4.0",TRUE,TRUE,TRUE
208,52,4,"530 4.0","530",4,52,4,"530",4,"530 4.0",TRUE,TRUE,TRUE
209,53,1,"530 3.5","530",3.5,53,1,"530",3.5,"530 3.5",TRUE,TRUE,TRUE
210,53,2,"530 3.5","530",3.5,53,2,"530",3.5,"530 3.5",TRUE,TRUE,TRUE
211,53,3,"530 3.5","530",3.5,53,3,"530",3.5,"530 3.5",TRUE,TRUE,TRUE
212,53,4,"530 3.5","530",3.5,53,4,"530",3.5,"530 3.5",TRUE,TRUE,TRUE
213,54,1,"530 3.0","530",3,54,1,"530",3,"530 3.0",TRUE,TRUE,TRUE
214,54,2,"530 3.0","530",3,54,2,"530",3,"530 3.0",TRUE,TRUE,TRUE
215,54,3,"530 3.0","530",3,54,3,"530",3,"530 3.0",TRUE,TRUE,TRUE
216,54,4,"530 3.0","530",3,54,4,"530",3,"530 3.0",TRUE,TRUE,TRUE
217,55,1,"530 2.5","530",2.5,55,1,"530",2.5,"530 2.5",TRUE,TRUE,TRUE
218,55,2,"530 2.5","530",2.5,55,2,"530",2.5,"530 2.5",TRUE,TRUE,TRUE
219,55,3,"530 2.5","530",2.5,55,3,"530",2.5,"530 2.5",TRUE,TRUE,TRUE
220,55,4,"530 2.5","530",2.5,55,4,"530",2.5,"530 2.5",TRUE,TRUE,TRUE
221,56,1,"530 2.0","530",2,56,1,"530",2,"530 2.0",TRUE,TRUE,TRUE
222,56,2,"530 2.0","530",2,56,2,"530",2,"530 2.0",TRUE,TRUE,TRUE
223,56,3,"530 2.0","530",2,56,3,"530",2,"530 2.0",TRUE,TRUE,TRUE
224,56,4,"530 2.0","530",2,56,4,"530",2,"530 2.0",TRUE,TRUE,TRUE
225,57,1,"450 5.0","450",5,57,1,"450",5,"450 5.0",TRUE,TRUE,TRUE
226,57,2,"450 5.0","450",5,57,2,"450",5,"450 5.0",TRUE,TRUE,TRUE
227,57,3,"450 5.0","450",5,57,3,"450",5,"450 5.0",TRUE,TRUE,TRUE
228,57,4,"450 5.0","450",5,57,4,"450",5,"450 5.0",TRUE,TRUE,TRUE
229,58,1,"450 4.5","450",4.5,58,1,"450",4.5,"450 4.5",TRUE,TRUE,TRUE
230,58,2,"450 4.5","450",4.5,58,2,"450",4.5,"450 4.5",TRUE,TRUE,TRUE
231,58,3,"450 4.5","450",4.5,58,3,"450",4.5,"450 4.5",TRUE,TRUE,TRUE
232,58,4,"450 4.5","450",4.5,58,4,"450",4.5,"450 4.5",TRUE,TRUE,TRUE
233,59,1,"450 4.0","450",4,59,1,"450",4,"450 4.0",TRUE,TRUE,TRUE
234,59,2,"450 4.0","450",4,59,2,"450",4,"450 4.0",TRUE,TRUE,TRUE
235,59,3,"450 4.0","450",4,59,3,"450",4,"450 4.0",TRUE,TRUE,TRUE
236,59,4,"450 4.0","450",4,59,4,"450",4,"450 4.0",TRUE,TRUE,TRUE
237,60,1,"450 3.5","450",3.5,60,1,"450",3.5,"450 3.5",TRUE,TRUE,TRUE
