"sweep","stim_index_70","tech_rep","wavelength","stimulus_ND","stim_label"
133,34,1,"330",1.5,"330 1.5"
134,34,2,"330",1.5,"330 1.5"
135,34,3,"330",1.5,"330 1.5"
136,34,4,"330",1.5,"330 1.5"
137,35,1,"330",1,"330 1.0"
138,35,2,"330",1,"330 1.0"
139,35,3,"330",1,"330 1.0"
140,35,4,"330",1,"330 1.0"
141,36,1,"650",4.5,"650B 4.5"
142,36,2,"650",4.5,"650B 4.5"
143,36,3,"650",4.5,"650B 4.5"
144,36,4,"650",4.5,"650B 4.5"
145,37,1,"650",4,"650B 4.0"
146,37,2,"650",4,"650B 4.0"
147,37,3,"650",4,"650B 4.0"
148,37,4,"650",4,"650B 4.0"
149,38,1,"650",3.5,"650B 3.5"
150,38,2,"650",3.5,"650B 3.5"
151,38,3,"650",3.5,"650B 3.5"
152,38,4,"650",3.5,"650B 3.5"
153,39,1,"650",3,"650B 3.0"
154,39,2,"650",3,"650B 3.0"
155,39,3,"650",3,"650B 3.0"
156,39,4,"650",3,"650B 3.0"
157,40,1,"650",2.5,"650B 2.5"
158,40,2,"650",2.5,"650B 2.5"
159,40,3,"650",2.5,"650B 2.5"
160,40,4,"650",2.5,"650B 2.5"
161,41,1,"650",2,"650B 2.0"
162,41,2,"650",2,"650B 2.0"
163,41,3,"650",2,"650B 2.0"
164,41,4,"650",2,"650B 2.0"
165,42,1,"650",1.5,"650B 1.5"
166,42,2,"650",1.5,"650B 1.5"
167,42,3,"650",1.5,"650B 1.5"
168,42,4,"650",1.5,"650B 1.5"
169,43,1,"610",5,"610 5.0"
170,43,2,"610",5,"610 5.0"
171,43,3,"610",5,"610 5.0"
172,43,4,"610",5,"610 5.0"
173,44,1,"610",4.5,"610 4.5"
174,44,2,"610",4.5,"610 4.5"
175,44,3,"610",4.5,"610 4.5"
176,44,4,"610",4.5,"610 4.5"
177,45,1,"610",4,"610 4.0"
178,45,2,"610",4,"610 4.0"
179,45,3,"610",4,"610 4.0"
180,45,4,"610",4,"610 4.0"
181,46,1,"610",3.5,"610 3.5"
182,46,2,"610",3.5,"610 3.5"
183,46,3,"610",3.5,"610 3.5"
184,46,4,"610",3.5,"610 3.5"
185,47,1,"610",3,"610 3.0"
186,47,2,"610",3,"610 3.0"
187,47,3,"610",3,"610 3.0"
188,47,4,"610",3,"610 3.0"
189,48,1,"610",2.5,"610 2.5"
190,48,2,"610",2.5,"610 2.5"
191,48,3,"610",2.5,"610 2.5"
192,48,4,"610",2.5,"610 2.5"
193,49,1,"610",2,"610 2.0"
194,49,2,"610",2,"610 2.0"
195,49,3,"610",2,"610 2.0"
196,49,4,"610",2,"610 2.0"
197,50,1,"530",5,"530 5.0"
198,50,2,"530",5,"530 5.0"
199,50,3,"530",5,"530 5.0"
200,50,4,"530",5,"530 5.0"
201,51,1,"530",4.5,"530 4.5"
202,51,2,"530",4.5,"530 4.5"
203,51,3,"530",4.5,"530 4.5"
204,51,4,"530",4.5,"530 4.5"
205,52,1,"530",4,"530 4.0"
206,52,2,"530",4,"530 4.0"
207,52,3,"530",4,"530 4.0"
208,52,4,"530",4,"530 4.0"
209,53,1,"530",3.5,"530 3.5"
210,53,2,"530",3.5,"530 3.5"
211,53,3,"530",3.5,"530 3.5"
212,53,4,"530",3.5,"530 3.5"
213,54,1,"530",3,"530 3.0"
214,54,2,"530",3,"530 3.0"
215,54,3,"530",3,"530 3.0"
216,54,4,"530",3,"530 3.0"
217,55,1,"530",2.5,"530 2.5"
